Ano,Mês,Inflação-IGP-DI-(% a.m.)
2018,05,1.64
2018,06,1.48
2018,07,0.44
2018,08,0.68
2018,09,1.79
2018,10,0.26
2018,11,-1.14
2018,12,-0.45
2019,01,0.07
2019,02,1.25
2019,03,1.07
2019,04,0.9
2019,05,0.4
2019,06,0.63
